type,title,platform,url
screenshot_thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/2/-/cache/200x120/2-1024_2238.jpg
screenshot,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/1/-/1-1024_2258.jpg
screenshot_thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/1/-/cache/200x120/1-1024_2258.jpg
screenshot,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/6/-/6-1024_1833.jpg
screenshot_thumbnail,"3DMark PC Steam CD Key",Steam,https://static.kinguin.net/media/category/6/-/cache/200x120/6-1024_1833.jpg
cover,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091500_4XVRbig.jpg
thumbnail,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091500_4XVRsmall.jpg
screenshot,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091503_39031656_1527128944560815_8234003515066606924_n.jpg
screenshot_thumbnail,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://images.kinguin.net/g/payment/media/images/banners/000_202504091503_39031656_1527128944560815_8234003515066606924_n.jpg
screenshot,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091503_39031569_874936434132874_4147768080956509036_n.jpg
screenshot_thumbnail,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://images.kinguin.net/g/payment/media/images/banners/000_202504091503_39031569_874936434132874_4147768080956509036_n.jpg
screenshot,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091503_57572945_4101430596805444_6348584420568355862_n.jpg
screenshot_thumbnail,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://images.kinguin.net/g/payment/media/images/banners/000_202504091503_57572945_4101430596805444_6348584420568355862_n.jpg
screenshot,"4XVR Premium Version Meta Quest Gift",Meta Quest,https://static.kinguin.net/media/images/banners/000_202504091503_38982596_833647691880071_381885124385437415_n.jpg
